,_id,consommation_energie,classe_consommation_energie,estimation_ges,surface_thermique_lot,classe_estimation_ges,annee_construction,tr002_type_batiment_description,code_insee_commune_actualise,geo_adresse,consommation_surface_ratio
6179,tABVO5pFJn7jV4Vyutc_Z,135.3,3.0,31.66,79.0,4.0,1978.0,Logement,35238,1 Square Armand de la Rouërie 35700 Rennes,1.7126582278481015
6180,wq2s_2uMP6wR3dtUMeZ_-,438.96,6.0,14.29,65.0,3.0,1900.0,Maison Individuelle,36074,5 Rue de l'Eglise 36700 Fléré-la-Rivière,6.753230769230769
6182,jwpyuSEJsxj3gTOnxz4SH,318.0,5.0,18.0,94.0,3.0,1988.0,Maison Individuelle,38540,lotissement les jayeres 38113 Veurey-Voroize,3.382978723404255
6183,_5iKUrU_QeZz2QcvX519u,121.78,3.0,4.21,80.0,1.0,2013.0,Logement,39300,14 Rue des Cordeliers 39000 Lons-le-Saunier,1.52225
6194,T4cdSLJ_vREVEKWgRIX1O,291.63,5.0,16.31,94.44,3.0,2000.0,Maison Individuelle,50076,Village Gallien 50290 Bréhal,3.087992376111817
6197,sV7EBeMLWqgDC4KPGPbaR,227.0,4.0,3.0,97.15,1.0,1947.0,Maison Individuelle,53200,Le Parc 53100 Saint-Baudelle,2.33659289758106
6201,2KbmH2dMHGcAGzmsJwXw-,193.0,4.0,45.0,63.0,5.0,1948.0,Logement,57140,10 Rue de Peltre 57245 Chesny,3.0634920634920637
6203,jlGYPTzbPkzWZ5o0yli2p,327.78,5.0,16.46,52.0,3.0,1982.0,Logement,59043,7 Rue Emile Hie 59270 Bailleul,6.303461538461538
6204,5OGvpg0abVobRYGyZGKzJ,143.97,3.0,4.68,73.76,1.0,1940.0,Logement,60159,3 Rue Saint-Antoine 60200 Compiègne,1.9518709327548804
6206,6XOfxpFt2leRhRri2Q2C9,834.48,7.0,50.58,41.67,5.0,1950.0,Logement,62826,115 Rue Andrei Sakharov 62520 Le Touquet-Paris-Plage,20.025917926565874
6208,D8VtxEGC63LcbA6GA8yYz,163.17,4.0,6.77,121.11,2.0,1997.0,Maison Individuelle,64037,Route de Parbayse 64230 Arbus,1.3472875897944017
6210,KrWO87yDcdtmJe5KErDk7,157.0,4.0,6.0,58.03,2.0,1989.0,Logement,66140,Rue des Orangers 66370 Pézilla-la-Rivière,2.7054971566431156
6212,6lULFlEFeoOLZH_HZnnom,241.0,5.0,72.0,53.0,6.0,1975.0,Logement,68110,Rue des Pruniers 68320 Grussenheim,4.547169811320755
6213,vn-jKzGv0fHiKhWCuOKAX,392.0,6.0,22.0,90.3,4.0,1975.0,Maison Individuelle,69360,Chemin de la Blancherie Solaize,4.341085271317829
6214,-7UpIFXa3OOT3GSVbikDR,70.53,2.0,19.33,75.0,3.0,1948.0,Maison Individuelle,70181,Rue de l’Eglise 70150 Courcuire,0.9404
6217,HyBjRXmK4jNseczdPxUpD,562.0,7.0,36.0,146.0,5.0,1948.0,Maison Individuelle,73100,70 Chemin du chapelu 73330 Domessin,3.8493150684931505
6219,B9P_LQ0OKj2waZf0OWvaL,255.0,5.0,13.0,83.0,3.0,1948.0,Logement,75016,145 Avenue Aristide Briand 94230 Cachan,3.072289156626506
6220,fDDZMGOM8ORbXXd9HfJ3l,210.5,4.0,11.46,147.48,3.0,2006.0,Maison Individuelle,76509,Rue du Tour de Preaux 76160 Préaux,1.4273121779224303
6222,cudOBbJ4gU4rncbTWEdjr,267.0,5.0,62.0,165.47,6.0,1972.0,Maison Individuelle,78120,Rue du Clos Clément 78830 Bullion,1.6135855442074092
6224,hpoJHbX17ErlUMUXKdFCj,295.0,5.0,57.34,108.0,6.0,1975.0,Maison Individuelle,80015,12 Rue de l'Eglise 80200 Aizecourt-le-Haut,2.7314814814814814
6225,l7z88Pcc-35SrPFvmaD8y,176.89,4.0,9.92,182.0,2.0,2006.0,Maison Individuelle,81271,1335 Route de Garrigues 81370 Saint-Sulpice-la-Pointe,0.9719230769230769
6226,Lxe7FLjUmEzc8NNtWuV5k,48.03,1.0,1.09,71.01,1.0,2013.0,Maison Individuelle,82027,2 Rue des Chênes 82370 Campsas,0.6763836079425433
6227,CT0BUaQhiVSaYRus-5gIQ,168.02,4.0,39.32,82.4,5.0,1975.0,Logement,83118,164 Chemin de la Lauve 83700 Saint-Raphaël,2.0390776699029125
6228,q9ubHh9-Cr0qiXFCDthj3,87.0,2.0,23.0,150.0,4.0,2005.0,Maison Individuelle,84500,Chemin de la Garenne Maizy,0.58
6231,3PaJ2HeK3Qkm6hZ9tYqqN,141.13,3.0,25.64,184.5,4.0,1900.0,Maison Individuelle,87046,Route des Monts 87310 Cognac-la-Forêt,0.7649322493224932
6232,-QVgRD5UpowicIek821zh,285.0,5.0,66.69,45.0,6.0,1947.0,Logement,88196,46 Boulevard Kelsch 88400 Gérardmer,6.333333333333333
6234,5-2X6GKz6U68fDgcpMR1a,216.0,4.0,7.0,21.22,2.0,1974.0,Logement,90010,8 Avenue Jean Jaurès 90000 Belfort,10.179076343072573
6238,LjWUaaWZNrPtLE-w6sS8B,215.27,4.0,51.45,120.0,5.0,1948.0,Maison Individuelle,94046,69 Rue Michelet 94700 Maisons-Alfort,1.7939166666666668
6239,Ql-EMj2UO2vygnGuxgPBo,159.0,4.0,37.0,34.61,5.0,1989.0,Logement,95270,8 Place de l'Eglise 95420 Genainville,4.594047963016469
6241,2Wz-jHRhglnp3BRVQW6Mo,109.0,3.0,32.0,128.0,4.0,1947.0,Maison Individuelle,02160,29 Rue des Chênes 02340 Chaourse,0.8515625
6246,vtbrYXK72ii-Mgmy75wKk,115.0,3.0,34.0,197.0,4.0,1989.0,Maison Individuelle,07200,chemin de vauclare 07560 Le Roux,0.583756345177665
6247,Nrcsj3u1hUEr2MvKU0Cm7,557.0,7.0,32.0,50.3,4.0,1948.0,Logement,08330,22 Rue de l'Eglise 08300 Novy-Chevrières,11.073558648111332
6248,ujrAd-WjV-bhgCcI3E5zr,99.55,3.0,23.29,120.0,4.0,2012.0,Maison Individuelle,09022,Rue du Marronnier 09100 Arvigna,0.8295833333333333
6249,NYKLB6NbFLX7lM6X2W2fJ,57.94,2.0,13.56,935.44,3.0,2006.0,Maison Individuelle,10115,1 Rue de la République 10150 Creney-près-Troyes,0.06193876678354571
6256,b52UOPUFb7UIW_FzkT2ML,245.64,5.0,10.87,40.0,2.0,1980.0,Maison Individuelle,17133,Route de Chez Seguineau 17260 Cravans,6.141
6257,UI3vCYp5bgQVOFcinvuel,269.42,5.0,12.28,83.0,3.0,1982.0,Maison Individuelle,18015,2 Résidence de Launay 18700 Aubigny-sur-Nère,3.2460240963855425
6258,BMwDQKx4uIpyWJyQN3LIM,257.0,5.0,4.0,68.0,1.0,1982.0,Maison Individuelle,19123,37 Allee De Puymaret 19360 Malemort,3.7794117647058822
6259,o6Kovyr25RhIeXe0JG0B-,433.25,6.0,14.11,58.0,3.0,1948.0,Maison Individuelle,21267,2 Route de Gilly 21640 Flagey-Echézeaux,7.469827586206897
6261,hSjr1cxQ72B__ri80Wv7Y,81.13,2.0,4.79,107.0,1.0,1969.0,Maison Individuelle,23105,4 Rue du Centre 23150 Lavaveix-les-Mines,0.7582242990654205
6263,SJgy-spidI_5nVWDwTbYl,153.41,4.0,17.8,62.18,3.0,1973.0,Logement,25388,21 Rue Hélène Boucher 25200 Montbéliard,2.467192023158572
6265,PgdfwaKp6in-DbU3PHOhS,190.06,4.0,8.98,90.0,2.0,2006.0,Maison Individuelle,27209,400 Hameau d’Ytot 27290 Écaquelon,2.1117777777777778
6266,l5GVYBo6RDBUgMvsVFyuT,226.21,4.0,52.93,108.57,5.0,1974.0,Maison Individuelle,28088,30 Rue de Courtalain 28200 Châteaudun,2.083540572902275
6267,tt7JLF_-lrlfegvqNtNH_,392.66,6.0,95.94,90.0,7.0,1950.0,Maison Individuelle,29053,4 Impasse des Lilas 29590 Le Faou,4.3628888888888895
6269,pg3tLx47HLuVoaYXwbf8S,75.53,2.0,15.27,161.0,3.0,2006.0,Maison Individuelle,2B088,Listincone 20230 Chiatra,0.4691304347826087
6270,5JRFfWiQ1qCt25hVL2Zlw,167.34,4.0,7.65,91.57,2.0,2000.0,Maison Individuelle,30189,24 Rue Edgar Tailhades 30900 Nîmes,1.8274544064649996
6271,BubIGkAdjMYH_mGdCHFrG,355.14,6.0,20.33,81.77,3.0,1960.0,Maison Individuelle,31248,13 Place Vincent Auriol 31860 Labarthe-sur-Lèze,4.343157637275285
6272,VvLg_-jeV6QKTWxAy4gbH,168.0,4.0,6.63,70.97,2.0,2010.0,Maison Individuelle,32119,Guinlet 32800 Eauze,2.3671974073552207
6275,H8WCv92fbHwwmqyN47MR6,272.56,5.0,13.74,76.0,3.0,2007.0,Maison Individuelle,35014,Allée des Châtaigniers 35680 Bais,3.586315789473684
6278,hl9LjPEA7GVypveTx6Rtk,419.0,6.0,99.0,72.0,7.0,1948.0,Maison Individuelle,38370,Rue Pierre et Marie Curie (Pont) Villiers-au-Bouin,5.819444444444445
6279,bHtZRlz8jiRm7E863jRHh,505.0,7.0,31.0,106.0,4.0,1983.0,Maison Individuelle,39210,Route de Pontarlier 39300 Équevillon,4.764150943396227
6280,Sd8CC-gYvbuHIpFMur-kB,346.43,6.0,16.99,40.19,3.0,1975.0,Maison Individuelle,40296,Rue des Pluviers 40510 Seignosse,8.619805921871112
6282,Z_CsTuubdxr7RUzkLbEWT,275.0,5.0,15.0,144.0,3.0,2006.0,Maison Individuelle,42290,Rue des Mésanges 42600 Saint-Thomas-la-Garde,1.9097222222222223
6285,zXHwcgMBLlXyFoLZzg99a,276.43,5.0,12.16,23.85,3.0,1950.0,Logement,45234,5 Rue du Colombier 45000 Orléans,11.590356394129978
6289,n8ZBZzpRNJB8U_XQMfI3l,164.15,4.0,6.87,85.25,2.0,2006.0,Maison Individuelle,49149,14 Rue de la Salamandre 49350 Gennes-Val-de-Loire,1.9255131964809384
6290,AJQ8yr2rhTgJFYdenmKdW,413.17,6.0,21.95,33.5,4.0,1977.0,Maison Individuelle,50218,88 Rue de la Briqueterie 50400 Granville,12.333432835820895
6291,BplCqmhN0VdZSrnZWuUJZ,342.11,6.0,75.62,96.0,6.0,1948.0,Logement,51183,1 Rue de la Gare 51220 Courcy,3.5636458333333336
6292,0lpDoRR2PTIyD_R8GNnHx,302.0,5.0,71.0,85.0,6.0,1974.0,Maison Individuelle,52448,13 Rue Mozart 52100 Saint-Dizier,3.552941176470588
6293,DUXDPfkVnBgYKVOXLCu01,227.0,4.0,3.0,97.15,1.0,1947.0,Maison Individuelle,53200,Le Parc 53100 Saint-Baudelle,2.33659289758106
6296,hhrQEWcR0GWgRglJru9Am,204.05,4.0,11.39,98.0,3.0,1982.0,Maison Individuelle,56009,Lieu Dit Kerprat 56360 Bangor,2.0821428571428573
6297,T_e55GdKUAk2Olwd8L3YE,205.97,4.0,47.96,72.0,5.0,1968.0,Maison Individuelle,57003,3 La Wassersoupe 57560 Abreschviller,2.8606944444444444
6298,UnTrry6oFGVNgXl2NPYG1,409.01,6.0,122.7,71.0,7.0,1970.0,Maison Individuelle,58194,24 Rue de Lund 58000 Nevers,5.760704225352113
6300,7fH7rcG9EmHoQ3bCKYZ_l,113.98,3.0,26.67,125.94,4.0,1954.0,Maison Individuelle,60017,25 Rue des Poissonniers 60120 Ansauvillers,0.9050341432428141
6301,-8mTYU9tLdkv69_a9feuw,227.9,4.0,11.14,92.0,3.0,2005.0,Maison Individuelle,61462,16 Rue Georges Rousseau 61200 Sarceaux,2.4771739130434782
6302,SaDPHZHX0CASEgAgY3PIG,323.01,5.0,16.23,120.88,3.0,2007.0,Maison Individuelle,62514,11 Rue de l'Eglise 62127 Ligny-Saint-Flochel,2.672154202514891
6305,wtVho1Zf1aaWUysZG8CWt,329.0,5.0,16.0,46.85,3.0,1989.0,Logement,65400,11 Route du Bergons 65400 Salles,7.022411953041622
6306,MkTU5Ap-0fpwfR4bXlSNg,178.14,4.0,6.55,30.09,2.0,1997.0,Logement,66136,2 Avenue du Cap Bear 66000 Perpignan,5.920239282153539
6308,2Jdrlr3Z0K-UXXkR08Dnh,284.38,5.0,66.55,33.0,6.0,2012.0,Logement,68083,Rue du Maréchal de Lattre de Tassigny (Pont) Flers-en-Escrebieux,8.617575757575757
6309,iU5PDS2IvrXoAJ0u5Tuq-,320.08,5.0,16.78,3443.0,3.0,1978.0,Bâtiment collectif à usage principal d'habitation,69384,31 Rue Henri Gorjus 69004 Lyon,0.09296543711879175
6310,Q4oR5owa1usS1FYUmEgaI,59.33,2.0,16.26,53.5,3.0,1948.0,Maison Individuelle,70181,Rue de l’Eglise 70150 Courcuire,1.1089719626168224
6314,I4LpwIqLRK0qccfgQyyKw,406.0,6.0,23.0,36.15,4.0,1989.0,Logement,74210,Route des grandes teppes 74550 Perrignier,11.230982019363763
6315,VIGqeg3Ss72r6whn8epRg,235.0,5.0,47.0,14.0,5.0,1947.0,Logement,75016,25 Boulevard de la Vanne 94230 Cachan,16.785714285714285
6316,VOmDtSdqIEfLuteIaHlCh,154.09,4.0,36.05,85.43,5.0,1999.0,Logement,76497,375 Rue de la Pierre d'Etat 76650 Petit-Couronne,1.8036989348004213
6317,9DuGc7ghixbjYQzrVe6q-,207.34,4.0,38.13,191.0,5.0,1974.0,Maison Individuelle,77350,15 Rue Jean-baptiste Clément 77330 Ozoir-la-Ferrière,1.0855497382198953
6318,1eLbYo1Ft90f0oIyDocMD,249.29,5.0,58.33,120.0,6.0,1982.0,Maison Individuelle,78569,36 Rue Saint-pré 78730 Sainte-Mesme,2.0774166666666667
6319,a9cwwfokhrLkTVZmaz1Pj,132.36,3.0,30.97,105.0,4.0,1900.0,Maison Individuelle,79086,Place de la Garenne 79410 Cherveux,1.2605714285714287
6320,fE0IccWWcFOqr6MXhm_Np,476.0,7.0,115.0,71.0,7.0,1947.0,Maison Individuelle,80800,Rue de la Gove 80140 Villers-Campsart,6.704225352112676
6321,dj3TRpTl9uLGjV4LM8a9Z,314.67,5.0,15.57,104.0,3.0,1982.0,Maison Individuelle,81220,Route de Salvagnac 81800 Rabastens,3.025673076923077
6322,A1v5elu0o4ZwgGkZ3FU1t,57.4,2.0,1.23,71.52,1.0,2013.0,Maison Individuelle,82027,17 Rue des Eglantiers 82370 Campsas,0.8025727069351231
6328,POMnUXhUJ0ZDm437mfcS1,407.89,6.0,13.28,21.0,3.0,1947.0,Logement,88196,46 Boulevard Kelsch 88400 Gérardmer,19.423333333333332
6330,3mUfq-TKwE3zhoapC-w34,220.0,4.0,7.0,24.32,2.0,1974.0,Logement,90010,8 Avenue Jean Jaurès 90000 Belfort,9.046052631578947
6333,DD_ES-zPoJCKTzmkBtBWx,199.0,4.0,36.0,53.77,5.0,1947.0,Logement,93700,Rue d'Alsace-Lorraine (Pont) Corbeil-Essonnes,3.700948484284917
6334,6JTzV5HoSODX-hlqwNlKT,352.88,6.0,76.45,42.0,6.0,1970.0,Logement,94016,7 Rue des Vignes 94230 Cachan,8.401904761904762
6338,kSti0QU3nG6CoXwAxZrho,453.99,7.0,106.23,92.0,7.0,1955.0,Maison Individuelle,03098,5 Rue Montplaisir 03630 Désertines,4.934673913043478
6341,lCiB1grDt1rxjOXvJ1GcR,162.61,4.0,17.8,155.0,3.0,1948.0,Maison Individuelle,06012,65 Boulevard de la Turbie 06240 Beausoleil,1.0490967741935484
6343,tquRBmKOHBJna4eD1D274,720.0,7.0,44.0,52.2,5.0,1948.0,Maison Individuelle,08330,22 Rue du Pont Taillard 08300 Novy-Chevrières,13.793103448275861
6345,-9P6t14iAy6BLLv1hWfJG,57.94,2.0,13.56,935.44,3.0,2006.0,Maison Individuelle,10115,1 Rue de la République 10150 Creney-près-Troyes,0.06193876678354571
6346,qm34Q00D1wfuG0IDnEZdP,198.7,4.0,9.95,95.5,2.0,2006.0,Maison Individuelle,11279,22 Avenue du Cabardes 11610 Pennautier,2.080628272251309
6348,Qgpq-jqzhWX4Iv4S2GOlr,137.11,3.0,4.4,74.9,1.0,2007.0,Maison Individuelle,13039,45 Avenue Pierre Bérégovoy 13270 Fos-sur-Mer,1.8305740987983978
6349,b9qIV8QGBP0tW_tFkpq0S,218.84,4.0,51.21,50.0,5.0,1974.0,Logement,14118,73 Avenue Georges Clemenceau 14000 Caen,4.3768
6351,jsoT8BNS3betjNvXaJxi4,181.31,4.0,54.39,129.5,5.0,1974.0,Maison Individuelle,16003,Route de la Fosse Limousine 16110 Agris,1.40007722007722
6355,cz-LFkpzjmleg-bG2SO4p,189.0,4.0,44.0,64.0,5.0,1986.0,Logement,21054,14b Rue des Vérottes 21200 Beaune,2.953125
6357,vbHP8mjtDmXnEYtQu0tfX,22.78,1.0,0.74,73.98,1.0,1969.0,Maison Individuelle,23198,la cour 23500 Saint-Georges-Nigremont,0.30792105974587725
6359,0fGvbqKFmPBEzL31Q5zHK,421.0,6.0,109.0,78.0,7.0,1948.0,Logement,25120,6 Rue Haute 25330 Chantrans,5.397435897435898
6362,U62oVg_5HaqAs-_Ka8jkx,161.13,4.0,37.7,100.0,5.0,1948.0,Maison Individuelle,28134,avenue du pdt j fitzgerald kennedy 28100 Dreux,1.6113
6363,euEDqfE28M2sxXVOnA6Gz,285.7,5.0,66.85,110.25,6.0,1959.0,Maison Individuelle,29024,25 Rue de Depot 29270 Carhaix-Plouguer,2.5913832199546483
6365,kOIFSAp-CLT_iMvY9ojKA,188.73,4.0,6.24,40.0,2.0,1996.0,Logement,20042,Les Sables de Biguglia 20290 Borgo,4.718249999999999
6366,QNzvZZWBLPYHzDiHabLXN,234.76,5.0,54.93,74.7,5.0,1960.0,Maison Individuelle,30284,1 Avenue Maurice Thorez 30520 Saint-Martin-de-Valgalgues,3.1427041499330652
6367,RDBdE-o5QsPrzCRvZMnlH,228.14,4.0,10.5,119.0,2.0,1972.0,Maison Individuelle,31075,Chemin de Mondou 31470 Bonrepos-sur-Aussonnelle,1.917142857142857
6369,t0A9mjc8n9Qi6rSAK0yxO,220.95,4.0,12.25,174.0,3.0,2000.0,Maison Individuelle,33519,18 Avenue de la Boétie 33320 Le Taillan-Médoc,1.2698275862068964
6370,SZyYmeO4HaKFARI27WyYa,303.73,5.0,14.05,32.0,3.0,1982.0,Logement,34172,15 Place Alphonse Laveran 34090 Montpellier,9.4915625
6371,6miLkIYHVFrOyB15j57UY,807.0,7.0,26.0,42.98,4.0,1947.0,Maison Individuelle,35340,la Garelais 35380 Treffendel,18.776174965100047
6374,92Ncvsccrn4wpYr_kFvAj,149.0,3.0,6.0,110.0,2.0,1978.0,Maison Individuelle,38450,Chemin de la Tour 38210 Saint-Quentin-sur-Isère,1.3545454545454545
6375,Zs9G5e6OcczgkRufztWZz,195.19,4.0,23.4,137.15,4.0,1900.0,Maison Individuelle,39027,41 Route de Beaufort 39270 Augisey,1.4231862923806051
6377,8OGevfiX-SrHD5urF8UN1,230.0,4.0,10.0,98.0,2.0,1989.0,Maison Individuelle,41140,11 Rue des Carnutes 41200 Millançay,2.3469387755102042
6378,i2809ZQLbtcqoXpCjKFHf,120.02,3.0,28.09,90.0,4.0,1920.0,Logement,42184,29 Rue de Saint-Alban 42153 Riorges,1.3335555555555556
6380,0AwvdpoVjnwj9G1wJbk83,254.65,5.0,11.85,49.19,3.0,1970.0,Maison Individuelle,44087,6a Place du port (Machecoul) 44270 Machecoul-Saint-Même,5.17686521650742
6381,EsFZO1afccX7iNW7zafqd,220.67,4.0,11.29,108.0,3.0,2005.0,Maison Individuelle,45022,6 Rue de la Chapelle 45340 Batilly-en-Gâtinais,2.0432407407407407
6385,_b0CN27J6tvjnvW49XJD-,164.46,4.0,7.34,98.99,2.0,2006.0,Maison Individuelle,49125,6b Rue de l’ouest 49700 Doué-en-Anjou,1.661379937367411
6386,S0n8fzZ1zJf8EmZ8nsvEX,473.0,7.0,28.0,48.0,4.0,1983.0,Logement,50180,Rue du Bon Abri 50420 Tessy-Bocage,9.854166666666666
6387,fL-VAV5Z1ij72jZ-imqM7,301.62,5.0,54.77,82.0,5.0,1974.0,Maison Individuelle,51108,5 Rue de Courseulles-sur-Mer 51000 Châlons-en-Champagne,3.678292682926829
6388,q2p8hhXS4Mye74rEmp5iz,374.0,6.0,73.0,100.0,6.0,1957.0,Maison Individuelle,52448,18 Avenue des Etats-unis 52100 Saint-Dizier,3.74
6389,1LbH3ZZPNBMllqHeSNung,262.86,5.0,7.7,105.0,2.0,1948.0,Maison Individuelle,53195,3 Impasse des Blanches 53470 Sacé,2.5034285714285716
6390,vxrN54EbckQY_p3xt2JpC,127.66,3.0,29.87,80.86,4.0,2009.0,Logement,54274,111bis Rue de la République 54140 Jarville-la-Malgrange,1.5787781350482315
6391,Clz1Epuzbk21TdLjXjpHB,179.0,4.0,53.0,85.0,5.0,2001.0,Maison Individuelle,55170,Rue de l'Atre 55150 Écurey-en-Verdunois,2.1058823529411765
6392,lvzsaxn_faTzx5V1bCJrL,246.49,5.0,13.13,104.12,3.0,2010.0,Maison Individuelle,56090,11 Route de Kerguer 56650 Inzinzac-Lochrist,2.3673645793315403
6393,4wftJ_Un5zgltOs0PUXRS,200.5,4.0,43.61,135.0,5.0,1994.0,Maison Individuelle,57197,4 Rue Saint Michel 57510 Ernestviller,1.4851851851851852
6395,r-kt_wNZtv0scyw7cbuv0,630.0,7.0,20.0,303.0,3.0,1947.0,Bâtiment collectif à usage principal d'habitation,59221,46 Rue de la Résistance 59300 Famars,2.0792079207920793
6396,qWq6bWbTUg_LTACQcUFiO,246.24,5.0,73.87,90.44,6.0,1950.0,Maison Individuelle,60158,Rue du Général Leclerc (Pont) Saint-Quentin,2.722689075630252
6398,DK1M_ZjzctSvppWIH2bSj,255.76,5.0,59.84,98.0,6.0,1930.0,Maison Individuelle,62771,70 Rue Constant Darras 62430 Sallaumines,2.6097959183673467
6400,WIGdR9eK_-V5CUFol7oE9,347.0,6.0,20.0,68.0,3.0,1960.0,Maison Individuelle,64160,12 Avenue Jean Rumeau 64250 Cambo-les-Bains,5.102941176470588
6402,wDQZM_37Myn6yXMez2SMZ,206.51,4.0,8.77,48.48,2.0,2003.0,Maison Individuelle,66212,le Village Marin Catalan 66440 Torreilles,4.259694719471947
6403,s2qM3W2ytE1aRjdCGxrKy,144.56,3.0,33.82,71.57,4.0,2007.0,Logement,67019,Rue des Vergers 67600 Baldenheim,2.0198407153835407
6404,gzFxICft07CyW0E6QpXXv,210.56,4.0,49.27,55.0,5.0,2012.0,Logement,68083,Rue du Maréchal de Lattre de Tassigny (Pont) Flers-en-Escrebieux,3.8283636363636364
6405,zrbsfHNAOsLGUPIyuABO5,321.24,5.0,75.17,2098.0,6.0,1973.0,Bâtiment collectif à usage principal d'habitation,69381,Rue Général de Sève 69001 Lyon,0.15311725452812203
6406,qrUJmP20RehG-8xWN8F6F,256.0,5.0,76.0,126.3,6.0,1969.0,Maison Individuelle,70190,Rue du Général de Gaulle (Pont) Saint-Sébastien-sur-Loire,2.0269200316706257
6407,1a-Z9JsMuEg0RfQE23o-v,613.0,7.0,26.0,63.0,4.0,1978.0,Maison Individuelle,71220,Rue de la Croix 71160 Gilly-sur-Loire,9.73015873015873
6410,6iTMhU8y4hMv6st2y2Dj0,194.9,4.0,10.43,135.75,2.0,2006.0,Maison Individuelle,74175,19 Route des plantées 74500 Meillerie,1.4357274401473297
6411,NQUq7WwOfK9fbldqurvG-,211.0,4.0,49.0,46.52,5.0,1947.0,Logement,75016,Rue Nouvelle 94230 Cachan,4.535683576956147
6412,WIJHywRYTRqnal8MCntAU,402.86,6.0,92.97,70.31,7.0,1960.0,Maison Individuelle,76069,37 Route de Paris 76240 Belbeuf,5.729768169534917
6414,WmyfL3-RaeumduGicjYAq,304.32,5.0,71.21,72.94,6.0,1974.0,Logement,78358,51 Avenue le Kain 78600 Maisons-Laffitte,4.17219632574719
6415,iqi1TzW4mED4ERPZjTEON,314.87,5.0,10.25,58.15,2.0,1900.0,Maison Individuelle,79034,Rue de la Garenne 79000 Bessines,5.414789337919175
6416,rjU8sbuY81_MA0mh6mXZA,312.0,5.0,79.0,104.39,6.0,1948.0,Maison Individuelle,80115,17 Rue de Bergen 80200 Bouchavesnes-Bergen,2.9887920298879203
6417,vqIfQnmjK16KB1Iabv54x,424.54,6.0,15.48,90.0,3.0,1970.0,Maison Individuelle,81251,En Teste et la Rénaudie 81700 Saint-Germain-des-Prés,4.7171111111111115
6418,rf7uXjVzFLn8z9yLlyEE4,56.45,2.0,1.22,71.37,1.0,2013.0,Maison Individuelle,82027,19 Rue des Eglantiers 82370 Campsas,0.7909485778338238
6421,ag0trIW7jKqjxDNdv2zyt,259.42,5.0,77.82,114.75,6.0,1970.0,Maison Individuelle,85234,25 Chemin des grandes chaumes 85160 Saint-Jean-de-Monts,2.260740740740741
6422,qN4sZQM1qXpV7e3gCjKEr,146.0,3.0,34.0,81.75,4.0,1948.0,Maison Individuelle,86240,6 Rue Grande Saint-Remy 86390 Lathus-Saint-Rémy,1.7859327217125383
6424,w6-Do-aPnlQ5SwoOor70M,412.8,6.0,13.44,28.0,3.0,1947.0,Logement,88196,46 Boulevard Kelsch 88400 Gérardmer,14.742857142857144
6425,P63QLVM9HKCm8zsFXnH_w,273.0,5.0,63.0,99.0,6.0,1948.0,Maison Individuelle,89470,7 Rue Haute 89160 Villiers-les-Hauts,2.757575757575758
6426,D-078UAe8nrgaq98Mk2Vc,227.32,4.0,53.19,60.6,5.0,1974.0,Logement,94038,8 Rue de l'Avenir 94240 L'Haÿ-les-Roses,3.751155115511551
6429,hsmz4Tv3h1YwCdsgHCchg,269.57,5.0,63.08,58.0,6.0,1974.0,Logement,93032,Rue Raymond Poincare 93220 Gagny,4.647758620689655
6430,vTeqD8rmkFaBZEag5sUGJ,145.75,3.0,34.11,85.0,4.0,1988.0,Logement,94016,1 Rue Camille Desmoulins 94230 Cachan,1.714705882352941
6431,uAb8nCf1ODbOOInCxWeSP,433.0,6.0,22.0,29.28,4.0,1983.0,Logement,95120,Impasse Bernay 95430 Butry-sur-Oise,14.788251366120218
6432,2j9-q1NlsCQ-tFv7UwuaH,333.92,6.0,100.17,94.28,7.0,1968.0,Maison Individuelle,01238,569 Chemin des Dorriers 01600 Massieux,3.5417904115400933
6434,DNTRLEpjBi5ZsiUqn-tQI,361.6,6.0,108.48,50.0,7.0,1900.0,Maison Individuelle,03051,7 Rue George Sand 03370 Chambérat,7.232
6438,xhjunj6glA6EQ4Yxb96LN,501.3,7.0,71.51,74.0,6.0,1974.0,Maison Individuelle,07078,269 Rue de la République 07430 Davézieux,6.774324324324325
6439,l9jal8lvIbG_gEoX1UDce,260.0,5.0,61.0,75.37,6.0,1974.0,Maison Individuelle,08328,7 Place de Verdun 08700 Nouzonville,3.4496484012206445
6441,z98s2UVsbepNelsSD7Bcv,57.94,2.0,13.56,935.44,3.0,2006.0,Maison Individuelle,10115,1 Rue de la République 10150 Creney-près-Troyes,0.06193876678354571
6444,IVJHsY-HZxmQFgOieoKeF,194.56,4.0,7.47,86.8,2.0,1990.0,Maison Individuelle,13047,7 Ronde des Cabridans 13800 Istres,2.24147465437788
6446,BbPnZN-zjHZd5qCWMTP97,168.66,4.0,46.21,450.0,5.0,1900.0,Maison Individuelle,15059,La Chassagne 15430 Cussac,0.37479999999999997
6451,5ciKnNoXnAXyrORnOvQf3,144.33,3.0,33.77,129.0,4.0,1998.0,Maison Individuelle,21054,5 Rue de Lorraine 21200 Beaune,1.1188372093023258
6454,rvzdUAGhJMtGZSpZOIsjg,320.62,5.0,34.6,40.0,4.0,1974.0,Maison Individuelle,24403,Rue de la Fontaine 24340 Saint-Félix-de-Bourdeilles,8.0155
6455,T7OmsyYKNmz-WttYncHwh,355.0,6.0,92.0,114.0,7.0,1948.0,Logement,25120,6 Rue Haute 25330 Chantrans,3.1140350877192984
